company_brand,founded,headquarter,sector,what_it_does,investor,amount($),stage,year,stage_of_startup
Specsmakers,2011,Chennai,Beauty & Fashion,"A leader in crafting stylish, high-quality, eyewear at affordable prices.",Eight Roads Ventures,3000000.0,Venture - Series Unknown,2020,Established
Grinntech,2013,Dehradun,LifeStyle,"Grinntech has a range of Lithium-ion batteries which sets new standards in Electrical safety, Energy density, Durability","Ashok Leyland, V Lakshmi Narayanan",2000000.0,Venture - Series Unknown,2020,Established
CreditMantri,2012,Chennai,Business,CreditMantri is a provider of comprehensive Credit Analysis and Credit Improvement programs.,"Ranjit Punja, R Sudarshan, Gowri Mukherjee",803146.0,Venture - Series Unknown,2020,Established
Chai Waale,2018,Chennai,Transport,Given the rising trend in the number of tea stalls in the city,"Gunavanth Vaid, Bharat Kumar Sohanraj",238000.0,Venture - Series Unknown,2020,Early Stage
Deepsync,2018,Bangalore,Technology,"Deepsync is a revolutionary way to record your content, without you really speaking.",Venkat Raju,300000.0,Venture - Series Unknown,2020,Early Stage
ConnectedH,2016,Gurgaon,Health,The company’s vision is simple – Connected Healthcare.,Venture Catalysts,3000000.0,Venture - Series Unknown,2020,Early Stage
Reliance Retail,2006,Mumbai,Commerce,"Retailer delivering superior value to its customers, suppliers and shareholders.",Silver Lake Partners,10220000.0,Venture - Series Unknown,2020,Established
QShala,2014,Bangalore,Education,A platform that helps kids learn about life skills,Inflection Point Ventures,300000.0,Venture - Series Unknown,2020,Established
Pitstop,2015,Bangalore,Commerce,"Pitstop owns and operates a network of garages that provides car repair, detailing","Clairvest Group, Ontario Centres of Excellence",1020000.0,Venture - Series Unknown,2020,Established
Zomato,2008,Haryana,Transport,Get online food delivery from restaurants near you,"MacRitchie Investments, Baillie Gifford",100000000.0,Venture - Series Unknown,2020,Established
Customfit ai,2019,Bangalore,Technology,Operates on a SaaS model by providing a hyper-personalised website to users.,Venture Catalysts,3000000.0,Venture - Series Unknown,2020,Early Stage
Nirmata,2013,San Franciscao,Technology,Nirmata offers a complete solution for Kubernetes management and deployment for cloud-based apps,"Damien Toledo, Jim Bugwadia, Ritesh Patel",3000000.0,Venture - Series Unknown,2020,Established
Hire Me Car,2015,Noida,Hospitality,HireMeCar.com offers customers the fastest and easiest way to plan road travel.,US based NRI Investors,3000000.0,Seed,2020,Established
Oga Fit,2017,Bangalore,LifeStyle,The new-age home workout app that gives you an unmatched boutique digital fitness studio experience.,"Inflection Point Ventures, Mitesh Shah",3000000.0,Pre-series A,2020,Early Stage
ShipsKart,2018,New Delhi,Commerce,"ShipsKart platform that streamlines the way marine stores are ordered, approved and received on board with the help of technology.",Betatron,200000.0,Pre-series A,2020,Early Stage
SquadStack,2014,San Francisco,Technology,"Empowering consumer businesses to improve their sales conversions and funnel efficiency, using Artificial Intelligence & Data Science.","Chiratae Ventures, Blume Ventures",5000000.0,Series A,2020,Established
Financepeer,2017,Mumbai,Education,Financepeer is an AI based peer to peer lending platform.,"Ravi Sanghvi, PitchRight Venture",3000000.0,Pre-series A,2020,Early Stage
Cashify,2009,Gurugram,Commerce,Cashify.in is an e-commerce platform for reselling used electronic gadgets.,"Bessemer Venture Partners, CDH Investments",10000000.0,Debt,2020,Established
Etrio,2017,Hyderabad,Transport,"Etrio is an electric vehicle company in India with tata ace electric, Electric Tata ace HT",HNIs,3000000.0,Series A,2020,Early Stage
Codeyoung,2019,Bangalore,Education,Codeyoung provides live online coding classes for kids between the age of 5 - 17.,Guild Capital,3000000.0,Seed,2020,Early Stage
StayQrious,2020,Bangalore,Education,"Live online coding courses with social learning. Build coding skills, confident communication and leadership skills with your very own coach.",Y Combinator,2000000.0,Seed,2020,Early Stage
Sunstone Eduversity,2014,Gurugram,Education,India's Only Business School That Offers MBA & PGDM Programs With 100% Placement Assurance.,Prime Venture Partners,3000000.0,Series A,2020,Established
Infilect,2015,Bangalore,Technology,Infilect Technologies specialises in visual content intelligence by parsing large-scale visual content such as photos and videos,"Mela Ventures, 1Crowd",1500000.0,Pre-series A,2020,Established
MobiGarage,2017,New Delhi,Commerce,An ecommerce platform for refurbished electronics.,Inflection Point Ventures,3000000.0,Pre-series A,2020,Early Stage
Samunnati,2014,Chennai,Agriculture,Samunnati is a financial service provider focused on agri value chains.,"responsAbility, Accel",20000000.0,Debt,2020,Established
WeInnovate Biosolutions,2016,Pune,Manufacturing,Startup working dedicatedly in the area of healthcare-therapeutic solutions.,Chiratae ventures,3000000.0,Seed,2020,Early Stage
Yummy Corp,2017,Tangerang,Food & Beverages,"Yummy Corp is a food & beverages company that provides delicious, fresh, and creative food solutions for everyday corporate and group needs.","Palm Drive Capital, Amatil X Ventures",12000000.0,Series B,2020,Early Stage
Smallcase,2015,Bangalore,Technology,Smallcases are portfolios of stocks or ETFs created by India's top financial experts.,"Sequoia Capital India, Blume Ventures",13400000.0,Series B,2020,Established
Clairvolex,2006,California,Technology,Clairvolex is an IP solutions company that manages IP assets of large corporations using an IPAM model.,"JF Mauritius SPV, IndusAge Partners",2000000.0,Debt,2020,Established
Assiduus,2016,Bangalore,Commerce,"Assiduus leverages its eCommerce experience to help build, grow and scale your brand on various eCommerce platforms",VC Firm K Partners,1000000.0,Series A,2020,Early Stage
Brinton,2014,California,Health,Brinton is one of the fastest growing Pharmaceutical Companies spreading its network worldwide.,"India Alternatives Private Equity Fund, Tata Capital",1300000.0,Debt,2020,Established
AFK Gaming,2012,Mumbai,Media & Entertainment,AFK Gaming is a media and entertainment and gaming company located in Mumbai.,"9Unicorns, Ashneer Grover",200000.0,Pre-series A,2020,Established
Infarm,2013,Berlin,Agriculture,Infarm builds and distributes highly efficient vertical farms throughout cities to grow fresh produce right in your neighbourhood.,"Bonnier Ventures, Hanaco Venture Capital",170000000.0,Series C,2020,Established
Zuper,2016,Seattle,Technology,Zuper is a productivity suite for service businesses to mobile field workforce and automate all business operations.,"Gemba Capital, Gunderson Dettmer",1100000.0,Seed,2020,Early Stage
mCaffeine,2015,Mumbai,LifeStyle,"MCaffeine is a personal care brand that offers caffein-infused face, body, and hair care products.","RPSG Ventures, Amicus Capital",2900000.0,Series B,2020,Established
Origa,2013,Andheri,Technology,The charioteer of your growth at all times.,"500 Startups, ah! Ventures",2000000.0,Debt,2020,Established
GullyBuy Software,2019,Pune,Technology,To deliver a solution that will provide shopping convenience to every consumer in India,Venture Catalysts,543000.0,Pre-series A,2020,Early Stage
Recordent,2019,Hyderabad,Technology,A technology-enabled platform that helps MSMEs to increase their business efficiency through collection of dues,Venture Catalysts,3000000.0,Seed,2020,Early Stage
MPL,2018,Bangalore,Media & Entertainment,Mobile Premier League is the mobile e-Sports platform based in India.,"Base Partners, GO Ventures",90000000.0,Series C,2020,Early Stage
Penny,2020,Riyadh,Technology,Offer various development solutions and mainly focus on helping startups,Venture Catalysts,1300000.0,Seed,2020,Early Stage
Onsitego,2010,Mumbai,Hospitality,Onsitego is a customer service company for device and appliance repairs.,"Accel, Zodius Capital",30000000.0,Series B,2020,Established
Precily,2017,California,Technology,Precily is Artificial Intelligence platform for enterprises that increases efficiency of workforce by providing AI based solutions.,"Windrose Capital, Anil Advani",3000000.0,Seed,2020,Early Stage
SmartClean,2017,Singapore,Technology,SmartClean Technologies is an AI company that offers data-driven cleaning operations designed for facilities.,"Seeds Capital, AIM Smart City",3400000.0,Pre- series A,2020,Early Stage
ClanConnect,2016,Delhi,Commerce,"AI-driven influencer marketing platform ClanConnect.ai, which helps brands make their campaigns more data and result-oriented",Inflection Point Ventures,600000.0,Seed,2020,Early Stage
Servify,2015,Mumbai,Commerce,Servify is a self-learning platform that provides device management services and warranty solutions.,"Blume Ventures, Tetrao",23000000.0,Series C,2020,Established
ShareChat,2015,Bangalore,Media & Entertainment,ShareChat is a social networking and regional content platform.,"Lightspeed venture partners, saif partners",40000000.0,Pre-series C,2020,Established
Rephrase.ai,2018,Bangalore,Technology,Rephrase.ai helps in creating high-quality videos and animations through an AI-powered visual dubbing tool.,"Techstars Bangalore Accelerator, Techstars",1500000.0,Seed,2020,Early Stage
Melorra,2015,Bangalore,Beauty & Fashion,"Buy Latest Gold, Diamond & Gemstone Jewellery Designs Online Rings, Earrings, Necklace","Shadows Holdings, Lightbox",8090000.0,Debt,2020,Established
FabHotels,2014,Gurugram,Hospitality,FabHotels is a network of 3 star budget hotels in India,"RB Investments Pte. Ltd, Goldman Sachs",1030000.0,Series B,2020,Established
EkAnek,2018,New Delhi,Technology,EkAnek Networks is a new startup that is focused on building the ecosystem for new age brands in lifestyle categories,"Lightspeed India Partners, Sequoia Capital India",5040000.0,Edge,2020,Early Stage
Cub McPaws,2018,Mumbai,Technology,Cub McPaws is a kids clothing brand.,Venture Catalysts,800000.0,Pre-series A,2020,Early Stage
Zimyo,2018,Gurgaon,Business,Employee experience platform that empowers organizations to manage and retain great talent!,"Abhishant Pant, Chiranth Patil",1500000.0,Seed,2020,Early Stage
PumPumPum,2018,Gurgaon,Transport,Pumpumpum is a car rental company,Mumbai Angels Network,360000.0,Debt,2020,Early Stage
Burgerama,2018,Gurgaon,Food & Beverages,Burgerama is a unit of Junket Foods Private Limited,"Madison, Anicut",3000000.0,Pre-series A,2020,Early Stage
Moms Co,2016,Gurgaon,Health,The Moms Co. creates a safe and natural formulated products for babies that are certified toxin-free,"DSG Consumer Partners, Saama Capital",8000000.0,Series B,2020,Early Stage
DillyHub,2018,Seoul,Telecommunications,A service that promotes and facilitates the works of independent comic artists,"Kakao Ventures, Shinhan Capital",1400000.0,Seed,2020,Early Stage
FPL Technologies,2019,Pune,Technology,FPL is on a mission to re-imagine credit and payments from first principles and is building a mobile-first credit card,"Matrix Partners India, Hummingbird Ventures",10000000.0,Series A,2020,Early Stage
FITTR,2016,Pune,LifeStyle,Fitness Social Network & Consultation Platform that helps you achieve your Health & Fitness goals.,Surge,2000000.0,Pre-series A,2020,Early Stage
Illumnus,2018,Pune,Education,"An innovative EdTech startup from IITB & BITS alumni, offering B2B SaaS-based collaborative LMS for Schools and Universities",23 High Networth Individuals (HNIs).,100000.0,Seed,2020,Early Stage
CashKaro,2012,Gurgaon,Commerce,Cashkaro is a coupons and cashback site rewarding customers for visiting online retailers through their site.,"Ratan Tata, Kalaari Capital",10000000.0,Series B,2020,Established
Newton School,2019,Bangalore,Education,Newton School is a platform to learn and develop skills,Nexus Venture Partners,650000.0,Seed,2020,Early Stage
Airmeet,2019,Bangalore,Technology,"Airmeet is an all-in-one events platform for virtual summits, meetups, and workshops that includes virtual social lounge","Global Founders Capital, Redpoint",12000000.0,Series A,2020,Early Stage
Observe ai,2017,San Francisco,Technology,"Observe.AI develops a voice AI platform for contact centers, turning agents into top performers.","01 Advisors, Steadview Capital",54000000.0,Series B,2020,Early Stage
InCred,2016,Mumbai,Finance,"Provide loans for all your needs like personal loan for wedding, education loan, business loan","Pushpak Credit, Fiscal",5000000.0,Debt,2020,Early Stage
Toppr,2013,Mumbai,Education,Toppr is an Indian educational technology and online tutoring firm,"Kaizenvest, Foundation Holdings",35000000.0,Series D,2020,Established
CarTrade,2009,Mumbai,Commerce,Buy and Sell Used Cars,"Pincus, JP Morgan, Temasek, March Capital",42500000.0,Series H,2020,Established
LEAD School,2012,Mumbai,Technology,Offers a high-end digital classroom system focused on enhancing the learning experience,"Westbridge Capital, Elevar Equity",28000000.0,Series C,2020,Established
Servify,2015,Mumbai,Manufacturing,"Enables top OEMs & ODMs in device distribution, sales, warranty","Blume Ventures, Tetrao",11370000.0,Series C,2020,Established
Lido Learning,2019,Mumbai,Education,"Online classes for Std 4-9 in Math, Science, Coding, English & Leadership with top 1% tutors ?","BAce Capital, Madhur Deora",7500000.0,Series B,2020,Early Stage
Apna.co,2019,Bangalore,Business,Can find all types of jobs from entry level to experienced people in over 60+ categories.,"Lightspeed India, Sequoia Capital India",8000000.0,Series A,2020,Early Stage
Quintype Technologies,2014,Bangalore,Technology,"Building a suite of digital publishing solutions to simplify content creation, distribution","IIFL Asset Management, Raghav Bahl",325000.0,Series A,2020,Established
Dunzo,2014,Bangalore,Technology,Order online and get free delivery from your nearby restaurants,"Wes Schwalje, Alteria Capital",28000000.0,Series E,2020,Established
Entropik,2016,Bangalore,Technology,Gain insights into human emotions with AI-powered platform affect lab.,"IDFC-Parampara Fund, Bharat Innovation Fund",8000000.0,Series A,2020,Early Stage
Livspace,2014,Bangalore,LifeStyle,Interior design marketplace that connects interior designers,"Mercer Investments, Nicholas Cator",9000000.0,Series D,2020,Established
Ultraviolette Automotive,2015,Bangalore,Manufacturing,Industries Automotive Electric Vehicle Energy Energy Storage,TVS Motor Company,410000.0,Series B,2020,Established
WinZO,2016,New Delhi,Manufacturing,WinZO is a mobile e-Sports gaming platform in India. It is available in 10 regional languages of India.,"Makers Fund, Courtside Ventures",18000000.0,Series B,2020,Early Stage
SenseHawk,2016,Bangalore,Energy,SenseHawk is a SaaS platform that helps improve processes and saves cost in the development,"Falcon Edge Capital, SAIF Partners",5000000.0,Series A,2020,Early Stage
Railofy,2019,Mumbai,Transport,Enables waitlisted passengers to reach their destination at the lowest possible price if their ticket is not,Chiratae Ventures.,900000.0,Seed,2020,Early Stage
Eloelo,2020,Bangalore,Commerce,"Social Commerce Venture for Wellness. View company info, jobs, team members, culture, funding and more.",Inflection Point Ventures,450000.0,Seed,2020,Early Stage
Aibono,2014,Bangalore,Agriculture,A next dimension food & farming platform that unites two ends of the food chain from growing to consuming,"Menterra Venture Advisors, Rianta Capital",2000000.0,Pre-series A,2020,Established
BuildPan,2019,Indore,Technology,"Buildpan helps you with continuous build, development and user feedback for iOS and Android development.","Sunil Kumar Singhvi, Yusho Kawata",500000.0,Seed,2020,Early Stage
Homelane,2014,Bangalore,LifeStyle,Explore 1000's of fully customizable home interior designs.,"Accel Partners, Sequoia Capital, Evolvence India, JSW Ventures",8000000.0,Bridge,2020,Established
MyGlamm,2015,Mumbai,Beauty & Fashion,Buy Makeup kit & Cosmetics Products from international makeup brand,Bessemer Venture Partners,1000000.0,Series B,2020,Established
Aviom,2016,New Delhi,Finance,A social impact focused housing finance company catering to housing needs of customers in semi urban areas,"Insitor Partners, C4D Partners",682000.0,Debt,2020,Early Stage
Flinto,2013,Chennai,Education,Flintobox is an India-based company that produces educational activity boxes for children,"Sinai Ventures, Y Combinator",7000000.0,Pre-Series B,2020,Established
WayCool,2015,Chennai,Agriculture,WayCool is a social enterprise positively impacting the lives of India's farmers,"FMO, IndusInd Bank",5060000.0,Series C,2020,Established
YAP,2014,Chennai,Technology,Create your own stream of Neo-banking and Deposit products using our bank-grade APIs,"Jitendra Gupta, Better Capital",4050000.0,Series A,2020,Established
Big Bang Boom Solutions,2018,Chennai,Technology,It aims to co-create intellectual property that can reside within the borders of the country.,"Mumbai Angels, Defence Innovation Organisation",1050000.0,Series A,2020,Early Stage
GUVI,2014,Chennai,Education,Operates vernacular-language based education tech startup,"CBA Capital, Gray Matters Capital",800000.0,Series A,2020,Established
BluSmart,2019,Gurugram,Energy,"BluSmart, an all-electric ride-hailing platform","Kalpavriksh, JITO Angel Network",7000000.0,Pre-series A,2020,Early Stage
Cell Propulsion,2017,Bangalore,Transport,Designs and develops electric power drives and autonomous electric mobility solutions,"growX ventures, Sangam Ventures",3000000.0,Pre-series A,2020,Early Stage
MPL,2018,Bangalore,Media & Entertainment,Mobile Premier League (also known as MPL) is the mobile e-Sports platform,"Sequoia Capital India, Times Internet",50000000.0,Series B,2020,Early Stage
Spoonshot,2015,Bangalore,Commerce,A food science company using AI to predict consumer taste and food trends,"SRI Capital, Techstars Farm to Fork Accelerator",1000000.0,Seed A,2020,Established
Pulse,2015,Mumbai,Technology,Helps people navigate through and profit off financial markets,Venture Catalysts,750000.0,Pre-series A,2020,Established
Groww,2016,Bangalore,Technology,Leading Investment and Trading Platform,"Y Combinator, Ribbit Capital",30000000.0,Series C,2020,Early Stage
i3 Systems,2016,Mumbai,Finance,Transforming India's health insurance industry with its digital solutions and AI products for automation,"Hatanaka Yosuke, Minomiya Takeo",1050000.0,Pre-series A,2020,Early Stage
SOAL,2017,Mumbai,Education,"A skill-tank nurturing students into disruptive, tech-empowered creators and future leaders","Krishnan Menon, Srinivas Kollipara",1000000.0,Series A-1,2020,Early Stage
OckyPocky,2015,Gurugram,Education,Ockypocky helps kids in learning spoken english,"SucSEED Venture Partners, ah! Ventures",400000.0,Seed,2020,Established
Hippo Video,2016,New York,Media & Entertainment,Helps enterprise businesses achieve their marketing and sales goals through seamless video,"Surge, Kae Capital",4000000.0,Series A,2020,Early Stage
Hasura,2017,San Francisco,Technology,"Builds developer tooling products, including open source tools, backend","Nexus Venture Partners, Sam Lambert",25000000.0,Series B,2020,Early Stage
Qapita,2019,Singapore,Technology,Qapita provides digital equity management tools for private companies and startups.,"Alto Partners, Mission Holdings",1080000.0,Seed,2020,Early Stage
Sunday,2017,Bangkok,Technology,An end-to-end insurance products and services provider that uses AI to offer personalized packages.,"SCB 10X, LINE Ventures",9000000.0,Pre-Series B,2020,Early Stage
Gamezop,2015,Gurugram,Manufacturing,A multi-game platform,"Powerhouse ventures, Tracxn,",4300000.0,Series A,2020,Established
Phool.co,2017,Kanpur,Health,They use flowers from temples across India's and create useful products such as rose incense cone,Kaplan Foundation,1400000.0,Pre-series A,2020,Early Stage
Chiratae Ventures,2018,Bangalore,Technology,A leading tech venture capital fund focused on enabling entrepreneurs in India.,Venture Catalysts,3000000.0,Seed Funding,2020,Early Stage
MedLife,2014,Bangalore,Health,"An India online platform, which provides pharmacy, diagnostics, and e-consultation in India.",Ivy Icon,6800000.0,Venture - Series Unknown,2020,Established
IDfy,2011,Mumbai,Technology,IDfy provides risk and fraud solutions,"Millenna FVCI III, NB Ventures, Dream Incubator",2110000.0,Series A,2020,Established
True Balance,2014,Gurugram,Finance,Earn money by meeting financial needs of your friends and neighbors.,Balancehero,3000000.0,Series C,2020,Established
Bira91,2015,New Delhi,LifeStyle,A craft beer brand manufactured by B9 Beverages Pvt. Ltd.,Anicut Capital,764000.0,Venture - Series Unknown,2020,Established
Max wholesale,2016,New Delhi,Commerce,MaxWholesale is an online distributor that provides authentic FMCG goods,"Al Falaj Commercial Investment Co, Vistra ITCL India",603000.0,Venture - Series Unknown,2020,Early Stage
Craftsvilla,2011,Mumbai,Commerce,"Sells ethnic apparel, footwear, fashion accessories, beauty products, handcrafted home accessories",Supera Investments,409000.0,Venture - Series Unknown,2020,Established
MechMocha,2011,Bangalore,Media & Entertainment,India's first vernacular social gaming platform,"Accel India, Blume Ventures, 3F Ventures, Akatsuki Inc",292000.0,Series A,2020,Established
Mindhouse,2019,Gurugram,Health,A gym to train your mind offering workouts and programmes,"GGV Capital, Sahi Barual",286000.0,Venture - Series Unknown,2020,Early Stage
DeepSync,2018,Chandigarh,Technology,"A revolutionary way to record your content, without you really speaking","Grand Anicut Angel Fund (GAAF), AL Trust, Beeline Impex Private Limited, 9Unicorns, Accelerator Fund",136000.0,Venture - Series Unknown,2020,Early Stage
Eruditus,2010,Mumbai,Education,Bring world-class business and professional education to a global audience,"Bertelsmann India Investments, Sequoia Capital India",3000000.0,Venture - Series Unknown,2020,Established
Gradeup,2015,Noida,Education,"India's largest exam preparation destination,","Times Internet, TLabs",546000.0,Venture - Series Unknown,2020,Established
Tracxn,2013,Bangalore,Business,Tracxn is the research partner for Venture Capitalist,"Saif partners, Accel partners, Sequoia capital",887000.0,Series B,2020,Established
Purple Style Labs,2015,Mumbai,Beauty & Fashion,Shopping experience and foster the growth of Indian brands and designers.,"Jitendra Gupta, Astarc Ventures.",43000.0,Venture - Series Unknown,2020,Established
ProPhysio,2016,Bangalore,Health,The largest provider of physiotherapy and rehabilitation services,Nestavera Ventures.,40900.0,Venture - Series Unknown,2020,Early Stage
Flickstree,2014,Mumbai,Technology,World's largest video publisher,"MOX, Venture Catalysts",40900.0,Venture - Series Unknown,2020,Established
Settl,2015,Gurugram,Hospitality,Get affordable AC bus-rides everyday,"Sojitz, SIG Global India Fund",3000000.0,Venture - Series Unknown,2020,Established
Fanspole,2015,Thane,Media & Entertainment,India's only social fantasy gaming platform,"Mohan Verma, Better Capital",3000000.0,Pre-Seed,2020,Established
Sarva,2016,Mumbai,Health,A wellness ecosystem built on the authentic foundations of Yoga,"Shikhar Dhawan, Mantra Capital",3000000.0,Venture - Series Unknown,2020,Early Stage
Univ.ai,2019,Bangalore,Education,"A distributed, global educational powerhouse that draws on technology",Kiran Mazumdar Shaw.,3000000.0,Venture - Series Unknown,2020,Early Stage
PurohitJi,2016,Bangalore,LifeStyle,App for Hindu Puja Products & Services,Bhadresh,3000000.0,Venture - Series Unknown,2020,Early Stage
CredoLab,2015,Singapore,Technology,AI credit scoring platform,"GB Group, Walden International",7000000.0,Series A,2020,Established
Brick&Bolt,2018,Bangalore,Real Estate,"A construction company doing house construction, building construction, commercial construction","Meghna Agarwal, Navin Dhanuka",2200000.0,Series A,2020,Early Stage
Grinntech,2013,Chennai,Manufacturing,Leading on all fronts of battery design,"V Sumantran, V Lakshmi Narayanan",2000000.0,Venture - Series Unknown,2020,Established
6Degree,2014,Mumbai,Beauty & Fashion,India's leading fashion business platform,"Keiretsu Forum, SucSEED Venture Partners",340000.0,Venture - Series Unknown,2020,Established
Exprs,2018,Bangalore,Business,"Nano Distribution Centres, enabling seamless connectivity of businesses & Consumers.","Sweta Rau, Sandeep Kapoor",5660000.0,Venture - Series Unknown,2020,Early Stage
Bikayi,2019,Hyderabad,Commerce,Provides free whatsapp integrated E-Commerce Store,Mantis ventures,2000000.0,Seed round,2020,Early Stage
Virtual Forest,2019,Bangalore,Technology,Tracking seasonal change in virtual forest,Napino Auto and Electronics Ltd,3000000.0,Venture - Series Unknown,2020,Early Stage
The Health company,2018,Gurugram,Health,Organic superfoods & free personal health coaching that actually work.,"VCATS, First Cheque, 9Unicorns, Marquee investors",350000.0,Venture - Series Unknown,2020,Early Stage
TrulyMadly Matchmakers,2014,Gurugram,Media & Entertainment,One of the best dating Apps in India connecting singles across the country.,"AngelList, Inflection Point Ventures, The Chennai Angels",110000.0,Pre-series A,2020,Established
TrueFan,2020,Mumbai,Media & Entertainment,Enables users to play quizzes around celebrities and winners get a personalised video message from stars.,"Mayfield India, Saama Capital, Ronnie Screwvala",4300000.0,Seed round,2020,Early Stage
Fanspole,2015,Mumbai,Manufacturing,A free app that users can use to create contests and play,Better Capital,3000000.0,Pre-seed Round,2020,Established
Byju's,2011,Bangalore,Education,Provides online learning classes,DST Global,122000000.0,Venture - Series Unknown,2020,Established
Avail Finance,2017,Bangalore,Technology,Instant online loan app,"Alphawave, Matrix Partners",11635000.0,Series B,2020,Early Stage
The Money Club,2016,Delhi,Technology,AI based chit fund cashier app,Venture Catalysts,3000000.0,Venture - Series Unknown,2020,Early Stage
Virohan,2018,Gurgaon,Education,Healthcare training company,"Keiretsu Forum, Elea Foundation",2800000.0,Seed Round & Series A,2020,Early Stage
OneCode,2016,Gurugram,Commerce,Connects new-age digital first brands with relevant sellers,WaterBridge Ventures,3000000.0,Seed round,2020,Early Stage
Verloop.io,2015,Bangalore,Technology,Helps automate customer service using Artificial Intelligence,Alpha Wave incubation,5000000.0,Venture - Series Unknown,2020,Established
Otipy,2020,Bangalore,Commerce,Connects consumers with farmers thorugh women resellers,Inflection Point Ventures,1000000.0,Pre Series A,2020,Early Stage
Evage,2014,Chandigarh,Transport,Develop emissions-free electric commercial vehicles,Anand Shah,3000000.0,Venture - Series Unknown,2020,Established
LEAD School,2012,Mumbai,Education,Offers an integrated system for schools by helping them digitize the entire curriculum,"WestBridge Capital, Elevar Equity",28000000.0,Series C,2020,Established
Trell,2016,Bangalore,Commerce,Allows users to share their travel experiences,"KTB Network, Samsung Ventures, Ankur Nagpal, Gokul Rajaram, Vineet Buch",11000000.0,Series A,2020,Early Stage
Captain Fresh,2019,Bangalore,Transport,Sea food Supply chain,Ankur Capital,2300000.0,Pre Series A,2020,Early Stage
Teachmint,2016,Bangalore,Education,Empowers tutors with tools to deliver effective learning outcomes for students and parents,Better Capital,3000000.0,Venture - Series Unknown,2020,Early Stage
Pixxel,2019,Bangalore,Technology,Indian Earth observation startup,"Lightspeed India Partners, Blume Ventures, GrowX ventures",5000000.0,Seed round,2020,Early Stage
Habbit Health,2019,Delhi,Health,Applies modern science for healthier life through proprietary foods & digital ecosystem,"3one4 Capital, Angel list India",3000000.0,Pre seed Round,2020,Early Stage
SmarterBiz,2014,Bangalore,Technology,An end-to-end CX platform enabled with the gig workforce,"StartupXseed Ventures, Bhaskar Pramanik, MJ Aravinf, Ravi Viswanath, Ramesh Radhakrishnan, Ranjan Biswas, MJ Aniketh.",1065000.0,Pre Series A,2020,Established
Able Jobs,2019,Bangalore,Business,Provides end to end hiring support to companies,"SAIF Partners, Y Combinator, Neeraj Arora, Titan Capital, First Cheque.",2000000.0,Venture - Series Unknown,2020,Early Stage
Vieroots,2018,Kochi,Health,Personalised lifestyle management using epigenetic science,Suniel Shetty,3000000.0,Venture - Series Unknown,2020,Early Stage
Stack Finance,2019,Bangalore,Technology,"It automates invesments, expenses, borrowing under a single platform","SOSV, MOX (Mobile Only Accelerator)",3000000.0,Seed round,2020,Early Stage
FPL Technologies,2016,Pune,Technology,OneScore app is built by FPL - Free credit scoring and monitoring,"Matrix Partners India, Sequoia Capital India, Hummingbird Ventures",10000000.0,Series A,2020,Early Stage
Masai School,2019,Bangalore,Education,It trains tech aspirants in full stack wed and android development,"Unitus Ventures, India Quotient, AngelList India",2500000.0,Series A,2020,Early Stage
Mitron,2016,Bangalore,Media & Entertainment,Short Video and Social Platform,Nexus Venture Partners,5000000.0,Series A,2020,Early Stage
Daalchini,2017,Bangalore,Technology,Physical and Digital vending machines startup,Artha Venture Fund,669000.0,Pre Series A,2020,Early Stage
Suno India,2018,Ahmedabad,Media & Entertainment,Multilingual podcast platform,Shobu Yarlagadda,3000000.0,Angel Round,2020,Early Stage
LendingKart,2014,Ahmedabad,Technology,Provides working capital loans and business loans to MSMEs,"Fullerton Financial Holdings, Bertelsmann India Investments, Sistema Asia Fund, IndiaQuotient",16076000.0,Series D,2020,Established
Text Mercato,2015,Bangalore,Commerce,Cataloguing startup that serves ecommerce platforms,1Crowd,649600.0,Series A,2020,Established
Eden Smart Homes,2018,Bangalore,Technology,Develops smart home automation systems,Inflection Point Ventures,3000000.0,Venture - Series Unknown,2020,Early Stage
GrayQuest,2017,Mumbai,Education,Enables parents to pay their annual education fees in up to 12 monthly installments,Foundation Holdings,1000000.0,Pre Series A,2020,Early Stage
BigHaat,2015,Bangalore,Agriculture,Agri-inputs ecommerce player,"Ankur Capital, Beyond Next Ventures",2000000.0,Pre Series A,2020,Established
CityCash,2017,Mumbai,Technology,Focusses on creating a transit led micro-payments ecosystem,Orios Venture Partners,1000000.0,Seed round,2020,Early Stage
HomeLane,2014,Chennai,LifeStyle,Provides interior designing solutions,"Evolvence India Fund (EIF), Pidilite Group, FJ Labs",1000000.0,Series D,2020,Established
HungerBox,2015,Bangalore,Food & Beverages,"Offers B2B tech platform to corporates, aimed at improving the operations of their cafeterias",IIFL Income Opportunities Fund,6700000.0,Series C,2020,Established
DaveAI,2016,Bangalore,Technology,Sales augmentation platform with a vision to democratise AI for enterprises,Mumbai Angels Network,3000000.0,Venture - Series Unknown,2020,Early Stage
Eduvanz,2016,Mumbai,Technology,Digital finance NBFC that provides affordable education loans,Sequoia India,5000000.0,Series A,2020,Early Stage
ZipLoan,2015,Delhi,Technology,Provides loans to MSMEs,Stride Ventures,2000000.0,Venture - Series Unknown,2020,Established
DocSumo,2019,Mumbai,Technology,Platform helps to automate and analyse financial data,"Better Capital, TechStars, Barclays.",220000.0,Seed round,2020,Early Stage
CUSMAT,2016,Warangal,Technology,It builds high immersion training systems for enterprises,"Venture Catalysts,  Raveen Sastry",3000000.0,Venture - Series Unknown,2020,Early Stage
